Column 2,Column 3
200105,12
200106,2
200108,14
200109,151
200110,129
200111,60
200112,158
200201,990
200202,1717
200203,144
200204,140
200205,366
200206,134
200207,48
200208,104
200209,184
200210,2546
200211,416
200212,322
200301,465
200302,408
200303,637
200304,468
200305,725
200306,896
200307,870
200308,1533
200309,1761
200310,1521
200311,4564
200312,2715
200401,2394
200402,3467
200403,5016
200404,3684
200405,5411
200406,8191
200407,5224
200408,7116
200409,8510
200410,10470
200411,11355
200412,9189
200501,8676
200502,7448
200503,10546
200504,16056
200505,19549
200506,21794
200507,23945
200508,30545
200509,27558
200510,36743
200511,36327
200512,46089
200601,56646
200602,48931
200603,58632
200604,62829
200605,73282
200606,70680
200607,71142
200608,88367
200609,95352
200610,104828
200611,109509
200612,99822
200701,119135
200702,125952
200703,146127
200704,146186
200705,173896
200706,157130
200707,150414
200708,174661
200709,184786
200710,206615
200711,187985
200712,160270
200801,194419
200802,189842
200803,196963
200804,207310
200805,187742
200806,128037
200807,125215
200808,125903
200809,131908
200810,144957
200811,130612
200812,120139
200901,133324
200902,153009
200903,198564
200904,192278
200905,213910
200906,213164
200907,201663
200908,206237
200909,214890
200910,220651
200911,212775
200912,183274
201001,215421
201002,204375
201003,228521
201004,220511
201005,226083
201006,183649
201007,181321
201008,201261
201009,208386
201010,211414
201011,206358
201012,185034
201101,212670
201102,210063
201103,220986
201104,199696
201105,210384
201106,212255
201107,207464
201108,219051
201109,210362
201110,222092
201111,222717
201112,197481
201201,218116
201202,206264
201203,212193
201204,211002
201205,233508
201206,219119
201207,222340
201208,221097
201209,207551
201210,216542
201211,211269
201212,192080
201301,208728
201302,194142
201303,204474
201304,205845
201305,238837
201306,229344
201307,209164
201308,170953
201309,160148
201310,171341
201311,167689
