Column 2,Column 3
200507,180
200508,118
200509,22
200510,2
200511,10
200512,13
200601,15
200602,3167
200603,13290
200604,7136
200605,8437
200606,11222
200607,16493
200608,6645
200609,15957
200610,10595
200611,13762
200612,28509
200701,19847
200702,14334
200703,6637
200704,12201
200705,9247
200706,14277
200707,6736
200708,9922
200709,21412
200710,8727
200711,10802
200712,103541
200801,41030
200802,20391
200803,22262
200804,21328
200805,27402
200806,28316
200807,15359
200808,25138
200809,16805
200810,53596
200811,65764
200812,45083
200901,36609
200902,109828
200903,39325
200904,21624
200905,34709
200906,31796
200907,19997
200908,27885
200909,43648
200910,31268
200911,24889
200912,40591
201001,60730
201002,76138
201003,183286
201004,36616
201005,27071
201006,55082
201007,41275
201008,49303
201009,48816
201010,72269
201011,54742
201012,50082
201101,61989
201102,73130
201103,42807
201104,67093
201105,69796
201106,74813
201107,122363
201108,187121
201109,62817
201110,120085
201111,92883
201112,95914
201201,93505
201202,61067
201203,71219
201204,82933
201205,101166
201206,98207
201207,221409
201208,112972
201209,143829
201210,132841
201211,169406
201212,85307
201301,95774
201302,78304
201303,893721
201304,147673
201305,112500
201306,69730
201307,92741
201308,77296
201309,72978
201310,50711
201311,37097
