Column 2,Column 3
200105,12
200106,2
200108,14
200109,151
200110,129
200111,60
200112,158
200201,991
200202,1717
200203,145
200204,140
200205,366
200206,134
200207,48
200208,104
200209,184
200210,3329
200211,1215
200212,1096
200301,1295
200302,1264
200303,1478
200304,900
200305,1247
200306,1829
200307,5283
200308,7947
200309,7511
200310,15390
200311,13893
200312,16223
200401,12248
200402,14689
200403,20677
200404,17825
200405,17472
200406,19156
200407,25206
200408,27257
200409,40931
200410,47915
200411,46081
200412,41656
200501,41341
200502,37004
200503,45950
200504,65677
200505,99235
200506,98060
200507,110199
200508,164884
200509,136212
200510,150854
200511,138249
200512,187811
200601,216990
200602,222141
200603,262536
200604,267464
200605,302133
200606,320606
200607,334126
200608,356851
200609,352932
200610,377570
200611,399469
200612,395526
200701,441876
200702,457644
200703,530919
200704,519056
200705,615291
200706,545276
200707,523772
200708,563173
200709,622864
200710,676740
200711,624489
200712,719889
200801,724859
200802,657906
200803,683933
200804,696148
200805,725999
200806,605827
200807,597854
200808,630485
200809,641093
200810,784025
200811,702298
200812,743230
200901,692174
200902,699411
200903,709086
200904,672022
200905,763348
200906,768540
200907,775428
200908,713716
200909,765703
200910,744553
200911,706916
200912,665646
201001,808367
201002,856715
201003,1091780
201004,784310
201005,906972
201006,787056
201007,671628
201008,681137
201009,689359
201010,706007
201011,696376
201012,664943
201101,747016
201102,708180
201103,717310
201104,706898
201105,693287
201106,751325
201107,794608
201108,912866
201109,700750
201110,779377
201111,750722
201112,750490
201201,780813
201202,721991
201203,744987
201204,735567
201205,803032
201206,754822
201207,915924
201208,829610
201209,802197
201210,830807
201211,805977
201212,718399
201301,794393
201302,738158
201303,1558457
201304,725435
201305,736475
201306,654188
201307,660725
201308,580601
201309,559309
201310,563368
201311,538374
