Column 2,Column 3
200201,1
200203,1
200210,783
200211,799
200212,774
200301,830
200302,856
200303,841
200304,432
200305,522
200306,933
200307,4413
200308,6414
200309,5750
200310,13869
200311,9329
200312,13508
200401,9854
200402,11222
200403,15661
200404,14141
200405,12061
200406,10965
200407,19982
200408,20141
200409,32421
200410,37445
200411,34726
200412,32467
200501,32665
200502,29556
200503,35404
200504,49621
200505,79686
200506,76266
200507,86254
200508,134339
200509,108654
200510,114111
200511,101922
200512,141722
200601,160344
200602,173210
200603,203904
200604,204635
200605,228851
200606,249926
200607,262984
200608,268484
200609,257580
200610,272742
200611,289960
200612,295704
200701,322741
200702,331692
200703,384791
200704,372854
200705,441390
200706,388146
200707,373358
200708,388508
200709,438073
200710,470120
200711,436503
200712,559617
200801,530439
200802,468045
200803,486968
200804,488828
200805,538063
200806,477790
200807,472639
200808,504560
200809,509162
200810,639053
200811,571684
200812,623083
200901,558850
200902,546399
200903,510521
200904,479738
200905,549437
200906,555369
200907,573762
200908,507409
200909,550805
200910,523898
200911,494130
200912,482368
201001,592944
201002,652332
201003,863247
201004,563793
201005,680888
201006,603407
201007,490298
201008,479871
201009,480969
201010,494587
201011,490006
201012,479908
201101,534342
201102,498101
201103,496314
201104,507189
201105,482895
201106,539067
201107,587140
201108,693804
201109,490385
201110,557276
201111,527989
201112,553005
201201,562676
201202,515726
201203,532794
201204,524560
201205,569505
201206,535690
201207,693584
201208,608512
201209,594646
201210,614264
201211,594702
201212,526316
201301,585663
201302,544015
201303,1353979
201304,519588
201305,497636
201306,424843
201307,451553
201308,409648
201309,399153
201310,392014
201311,370669
