Column 2,Column 3
200212,3
200301,2
200302,1
200304,3
200305,3
200306,6
200307,3
200308,16
200309,6
200310,6
200311,23
200312,69
200401,56
200402,105
200403,201
200404,219
200405,219
200406,362
200407,424
200408,530
200409,833
200410,1049
200411,1283
200412,1045
200501,1163
200502,941
200503,1314
200504,1853
200505,1661
200506,1791
200507,2056
200508,3397
200509,2737
200510,3471
200511,3365
200512,3291
200601,3833
200602,4148
200603,5416
200604,6295
200605,8948
200606,7768
200607,7832
200608,10099
200609,12299
200610,15036
200611,15470
200612,10372
200701,12287
200702,15630
200703,21229
200704,18814
200705,24059
200706,19571
200707,15439
200708,21216
200709,26469
200710,36105
200711,28567
200712,22256
200801,28956
200802,30773
200803,33968
200804,44819
200805,40477
200806,29671
200807,23429
200808,30276
200809,32555
200810,36029
200811,32755
200812,21098
200901,25888
200902,33434
200903,53930
200904,44875
200905,56979
200906,44505
200907,40687
200908,46638
200909,51706
200910,57371
200911,54209
200912,35372
201001,44157
201002,49368
201003,59018
201004,56012
201005,46959
201006,36950
201007,25754
201008,33892
201009,37525
201010,40958
201011,38335
201012,27538
201101,32313
201102,41956
201103,44643
201104,38811
201105,42030
201106,36394
201107,29489
201108,37952
201109,43090
201110,41649
201111,44087
201112,31833
201201,38413
201202,40165
201203,40360
201204,41395
201205,48246
201206,40693
201207,33046
201208,41588
201209,43682
201210,47570
201211,43455
201212,29443
201301,33784
201302,40188
201303,43580
201304,44358
201305,44605
201306,34295
201307,28517
201308,29227
201309,28819
201310,37281
201311,37485
